,Plant,Name 1,Valuation Area,Customer no. - plant,Vendor number plant,Factory calendar,Name 2,House number and street,PO Box,Postal Code,City,Sales organization,State
50,X057,X057 - RANGANATHA SWAMY MOTORS,X057,PLX057,,IN,Hassan,"Survey No-188/1, NH-48,",573201.0,573201,Hassan,MFCD,Karnataka
51,X058,X058 - ASR AUTOMOBILES,X058,PLX058,,IN,Sonepat,"Opposite Suraj Petrol Pump ,",131001.0,131001,Sonepat,MFCD,Haryana
52,X060,X060 - SHIVANSH AUTOMOTIVE,X060,PLX060,,IN,Chhindwara,"Village - Sarra,",480001.0,480001,Chhindwara,MFCD,Madhya Pradesh
53,X061,X061 - APS MOTORCARE PVT LTD,X061,PLX061,,IN,Rishikesh,"581, Laxman Jhoola Road,",249201.0,249201,Rishikesh,MFCD,Uttarakhand
54,X062,X062 - S N S MOTORS MYSORE,X062,PLX062,,IN,Mysore,"No. 2421, Opp Yashaswini Kalya",570017.0,570017,Mysore,MFCC,Karnataka
55,X063,X063 - CHAKARAVARTHY AUTOMOTIV,X063,PLX063,,IN,Hyderabad,"Survey No 146/3, N.H Road,",515004.0,515004,Anantapur,MFCD,Andhra Pradesh
56,X064,X064 - SHIVAM ENTERPRISES,X064,PLX064,,IN,Hisar,"Old Industrial Area,",125005.0,125005,Hisar,MFCD,Haryana
57,X065,X065 - PIONEER AUTOWORLD,X065,PLX065,,IN,Greater Noida,A Unit Of Pioneer Automotive E,201306.0,201306,Greater Noida,MFCB,Uttar Pradesh
58,X066,X066 - REVATHI SERVICE CENTRE,X066,PLX066,,IN,Palani,"189/7, Opp New RTO Office,",624601.0,624601,Palani,MFCD,Tamil Nadu
59,X068,X068 - VAKA CARS,X068,PLX068,,IN,Thirupathi,"#297, Sanjay Gandhi Colony,",517501.0,517501,Thirupathi,MFCD,Andhra Pradesh
60,X072,X072 - PRABHAV PREMIUM AUTOMOB,X072,PLX072,,IN,Abohar,"Plot No 382,",152116.0,152116,Abohar,MFCD,Punjab
61,X073,X073- KRITI AUTOMOBILE REPAIR,X073,PLX073,,IN,Nashik,"Plot A-6, MIDC,",422007.0,422007,Nashik,MFCD,Maharashtra
62,X074,X074 - VISHWA MOTORS,X074,PLX074,,IN,Shrigonda,"Nr. Hotel R. K. Garden,",413701.0,413701,Shrigonda,MFCD,Maharashtra
63,X075,X075 - FUTUREVISION INNOVATION,X075,PLX075,,IN,Agra,"14 Km Milestone,",282007.0,282007,Agra,MFCD,Uttar Pradesh
64,X076,X076 - CAR X CARE,X076,PLX076,,IN,Firozabad,"Chameli Bagh, Near Raja Ka Taa",283203.0,283203,Firozabad,MFCD,Uttar Pradesh
65,X079,X079 -  SHREE R V CAR CARE,X079,PLX079,,IN,Kolar,"No 1064/ 442, Next to R V Inte",563101.0,563101,Kolar,MFCD,Karnataka
66,X080,X080 - KHAMLA MOTORS,X080,PLX080,,IN,Nagpur,"E-4/2, MIDC, Industrial Area,",440028.0,440028,Nagpur,MFCB,Maharashtra
67,X081,X081 - GEO MOTORS,X081,PLX081,,IN,Kottayam,"NP/XI/216 E,",686013.0,686013,Kottayam,MFCD,Kerala
68,X082,X082 - A&P MOTORS,X082,PLX082,,IN,Khammam,"Plot No 200,201 Pragathi Co-Op",507003.0,507003,Khammam,MFCD,Telangana
69,X083,X083 - EXCELLENT SERVICE,X083,PLX083,,IN,Suryapet,"Survey No. 726, A/4,",508213.0,508213,Suryapet,MFCD,Telangana
70,X084,X084 - RM AUTOMOTIVE SERVICES,X084,PLX084,,IN,Vijayapura,"Sy No. 449/4, Mantri Colony,",586102.0,586102,Vijayapura,MFCD,Karnataka
71,X085,X085 - SRI MOTORS,X085,PLX085,,IN,Chennai,"No 156, Pazhaveli Bye Pass,",603111.0,603111,Chengalpattu,MFCD,Tamil Nadu
72,X086,X086 - STRIKER AUTOMOBLIES,X086,PLX086,,IN,Bilaspur,"Plot No. 4-5,",174001.0,174001,Bilaspur,MFCD,Himachal Pradesh
73,X089,X089 - AKOLA NATIONAL GARAGE,X089,PLX089,,IN,Akola,"Beside Anapurna Mata Mandir,",444005.0,444005,Akola,MFCD,Maharashtra
74,X091,X091 - HARIKRIPA ENTERPRISES,X091,PLX091,,IN,INDORE,"54, Udyog Nagar,",452001.0,452001,Indore,MFCC,Madhya Pradesh
75,X092,X092 - EXCEL AUTO CORP. PVT. L,X092,PLX092,,IN,Indore,"20/4/11, Lasudia Mori,",452010.0,452010,Indore,MFCC,Madhya Pradesh
76,X095,X095 - NATIONAL AUTOMOBILE,X095,PLX095,,IN,Sikar,"NH-11, Gokulpura Bypass,",332001.0,332001,Sikar,MFCD,Rajasthan
77,X097,X097 -  KAINIKKARA MOTORS,X097,PLX097,,IN,Pathanamitta,"P-277/13-3 P-277/12-2, K-277/1",689653.0,689653,Pathanamitta,MFCD,Kerala
78,X098,X098 - KAPOOR MOTORS,X098,PLX098,,IN,Una,"Opp R.T.O Barrier,",174315.0,174315,Una,MFCD,Himachal Pradesh
79,X099,X099 - AUTO WORLD CAR CARE,X099,PLX099,,IN,Nashik,"Plot # 9, Pethe Nagar Road,",422009.0,422009,Nashik,MFCD,Maharashtra
80,X101,X101 - ARIHANT AUTO,X101,PLX101,,IN,Indapur,"236/2/E Pune-Solapur Road,",413106.0,413106,Indapur,MFCD,Maharashtra
81,X102,X102 - WEST COAST AUTOMOTIVE,X102,PLX102,,IN,Mangalore,"No.27-16 (27-16CP6),",575007.0,575007,Mangalore,MFCB,Karnataka
82,X103,X103 - DAYAL MOTORS,X103,PLX103,,IN,Chomu,"Near, Bhanwaria Hospital,",303702.0,303702,Chomu,MFCD,Rajasthan
83,X105,X105 - MSK CARS,X105,PLX105,,IN,Erode,"100/17, 100/18, Urc Nagar Piri",638009.0,638009,Erode,MFCD,Tamil Nadu
84,X106,X106 - TRS MOTORS,X106,PLX106,,IN,Dewas,"In front of Bhakti Avenue,",455001.0,455001,Dewas,MFCD,Madhya Pradesh
85,X107,X107 - DIXIT MOTORS,X107,PLX107,,IN,Wardha,,442001.0,442001,Wardha,MFCD,Maharashtra
86,X108,X108 - PADMA SHREE MOTORS,X108,PLX108,,IN,Nagda,"Survey No. 66/9, Betma Road Ka",454774.0,454774,Nagda,MFCD,Madhya Pradesh
87,X109,X109 - NANGAN MOTORS PVT. LTD,X109,PLX109,,IN,Chennai,"Plot No. 86C and 86D, 2nd Main",600058.0,600058,Chennai,MFCB,Tamil Nadu
88,X110,X110 - KALYAN SERVICES,X110,PLX110,,IN,Coimbatore,"4/5 C, Union Road,",641030.0,641030,Coimbatore,MFCC,Tamil Nadu
